,account_id,alliance_id,timestamp,raw_message,filtered_message,CHILD_GROOMING,RELATIONSHIP_SEXUAL_CONTENT,hour_bucket,trigger
301,aabb7cc4eb798f476925f8130fb5d29f431640f819ceee9725b63aef53d3c16e,5760ff059cf3105fa9ea1c7b4eae26ca7c773dc9f6eef584c3bf71ae5916cf3c,2023-03-01 19:34:08.181,can I be your gf,can I be your gf,-1.0,3.0,20,1
2089,066b0c39b0d4faf8fa78ff9cfe291e39d314f614983ce95f340ce022223aac81,40c3b750f63c5c87db4653f17d3e2f6b10636222f7d196ebd71a4393ea4939cd,2023-03-01 19:37:15.580,do you gf or something 😏,do you gf or something 😏,-1.0,3.0,20,1
3368,a71351dda0b6e1df466197d33370f5540098a554a3b4b19a7da6aa328d1336cd,b48aa7b12f6874594f66ea5d19ee23e8be6b606a75d9fefa7ad9352a049d7b57,2023-03-01 04:40:25.005,thank you social media,thank you social media,-1.0,-1.0,5,1
5017,0e38df97bdc7187a5c66873a65f44c2d6c6562976db98bcd6856bd4df5d9f8f3,6f083e8432eab1c091d4d083e0acc2942947cdb563974018ec69e565b6e259f9,2023-03-01 08:29:16.202,my boyfriend was also like you guys. very toxic,my ********* was also like you guys. very toxic,-1.0,3.0,9,1
5176,69d6ba6e968644d6f9afb324c8327253544251b29929afd5a2a065beb8fb341a,ecfc868615b5f59f0c74bc8686ef2328fcf3f7f7b05ec665e80f3af90e6fb40f,2023-03-01 14:24:34.005,We just got through a -30°C nearly -40°C cold snap,We just got through a -30°C nearly -40°C cold snap,-1.0,-1.0,15,1
5777,c0f836f433678d95b07fee045fd56a50a449121522f83a90626821ccb86dc752,5ea7cc0f549f9c3bb6be2be66b6d4b56dcde13c3f394ff82968f9d7f22285525,2023-03-01 20:26:11.316,Cutie,Cutie,-1.0,-1.0,21,1
5804,04c612edf5cb6a247aac220627b7771272fe848e486313da510f177253198985,2f3e6d2974d54151637e047506476cb2b87858b694a27a0284b63d75e963d9e3,2023-03-01 00:48:03.632,Screnshot for all my social medias HAHAHAGAHAGAG,Screnshot for all my social medias HAHAHAGAHAGAG,-1.0,-1.0,1,1
6452,b74a9a1ec0158479098c882a690e242604f3a938c5c0b40dc8c83683dac0d0e7,daec4e8b69c95f83b62dc665879bbc358c3aa9e085f291ca5528c9945730c575,2023-03-01 22:31:23.816,Relationship goals,Relationship goals,-1.0,3.0,23,1
6507,5d664cdee6c7613f4f44d4ed28b964d27bbff55a5e4586e5e32ea9f806d9800f,aef823c3b0a5ee2afc14501cdc5a466c68efc535fbfa09cefba85f602520b5e7,2023-03-01 17:26:27.282,Call your boyfriend over so I can ask him,Call your boyfriend over so I can ask him,-1.0,3.0,18,1
6570,2f47363236f3a6c007a0c519fa199cbab0b4deee65fe8c8741adefc6febb075f,eb10a18469110f2fd1db3e5c51b6ef4ee834938c7337d957425cf522d1dd17dc,2023-03-01 05:06:26.738,me no have gf,me no have gf,-1.0,3.0,6,1
